1.713326241743474245e+09,1.713326330246663332e+09
1.713326422278533936e+09,1.713326480238152981e+09
1.713326633966252089e+09,1.713326680353941202e+09
1.713326735887625217e+09,1.713326794658799887e+09
1.713326874607460260e+09,1.713326939406511545e+09
1.713327019572440147e+09,1.713327109796336412e+09
1.713327223705409765e+09,1.713327311150380373e+09
1.713327387202389002e+09,1.713327446950192451e+09
1.713327547346175909e+09,1.713327637631877661e+09
1.713327694864320517e+09,1.713327785189165831e+09
1.713327852142876625e+09,1.713327916849788904e+09
1.713327988451641083e+09,1.713328049804964304e+09
1.713328103219096661e+09,1.713328193453381538e+09
1.713328236633317232e+09,1.713328327224037409e+09
1.713328431060589552e+09,1.713328518684752464e+09
1.713329018188138723e+09,1.713329080759014368e+09
1.713329130086373329e+09,1.713329185283133268e+09
1.713329271217483759e+09,1.713329361387679577e+09
1.713329414497513294e+09,1.713329465669815779e+09
1.713329561497143984e+09,1.713329625490975142e+09
1.713329660124887705e+09,1.713329703767426968e+09
1.713329739955154657e+09,1.713329806805330515e+09
1.713329846032636404e+09,1.713329936233137131e+09
