1.712119045286684990e+09,1.712119126650746107e+09
1.712119216374752998e+09,1.712119281215105057e+09
1.712119357510404110e+09,1.712119422028450012e+09
1.712119471473500967e+09,1.712119537984146833e+09
1.712119584620124817e+09,1.712119649201350927e+09
1.712119766897723913e+09,1.712119830244701862e+09
1.712119879616901875e+09,1.712119918582397938e+09
1.712119961528893948e+09,1.712120055282981157e+09
1.712120087286062002e+09,1.712120150462430000e+09
1.712120191523200989e+09,1.712120258247119188e+09
1.712120306045914888e+09,1.712120343903830051e+09
1.712120415903935909e+09,1.712120481452758074e+09
1.712120518828744888e+09,1.712120539039043188e+09
1.712120606048522949e+09,1.712120664203788042e+09
1.712120709121507168e+09,1.712120773268186808e+09
1.712120821267606020e+09,1.712120894198779821e+09
1.712120942856325150e+09,1.712120965904139042e+09
